Date,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y
2009-01-01,,,,,,,90.650002,91.25,87.559998,90.667,90.667,0.0
2009-01-02,,,,,,,90.660004,92.370003,90.660004,91.790001,91.790001,0.0
2009-01-05,8991.209961,9127.379883,8987.360352,9043.120117,9043.120117,85000.0,91.790001,93.529999,91.050003,93.217003,93.217003,0.0
2009-01-06,9130.009766,9171.030273,9029.94043,9080.839844,9080.839844,154800.0,93.220001,94.566002,92.870003,93.379997,93.379997,0.0
2009-01-07,9133.799805,9325.349609,9106.049805,9239.240234,9239.240234,205600.0,93.365997,94.059998,92.41999799999999,92.68,92.68,0.0
2009-01-08,9143.209961,9148.830078,8876.419922,8876.419922,8876.419922,150000.0,92.721001,92.886002,90.849998,91.360001,91.360001,0.0
2009-01-09,8932.709961,8956.849609,8773.200195,8836.799805,8836.799805,137000.0,91.370003,91.550003,90.150002,90.370003,90.370003,0.0
2009-01-12,,,,,,,90.370003,90.370003,88.890999,89.43,89.43,0.0
2009-01-13,8732.629883,8732.929688,8405.5,8413.910156,8413.910156,135600.0,89.41999799999999,89.842003,88.82,89.341003,89.341003,0.0
2009-01-14,8425.75,8516.070313,8359.160156,8438.450195,8438.450195,132800.0,89.360001,89.949997,88.620003,89.160004,89.160004,0.0
2009-01-15,8309.379883,8309.379883,7997.72998,8023.310059,8023.310059,158400.0,89.167999,90.0,88.529999,89.940002,89.940002,0.0
2009-01-16,8125.200195,8283.910156,8067.470215,8230.150391,8230.150391,140600.0,89.949997,90.900002,89.849998,90.900002,90.900002,0.0
2009-01-19,8318.259766,8351.679688,8221.839844,8256.849609,8256.849609,102600.0,90.900002,91.230003,90.168999,90.620003,90.620003,0.0
2009-01-20,8187.140137,8190.419922,7962.459961,8065.790039,8065.790039,128000.0,90.620003,90.943001,89.68,89.809998,89.809998,0.0
2009-01-21,7949.959961,8009.220215,7829.299805,7901.640137,7901.640137,147000.0,89.809998,90.066002,87.279999,89.050003,89.050003,0.0
2009-01-22,7988.299805,8051.740234000001,7809.890137,8051.740234000001,8051.740234000001,142600.0,89.071999,89.471001,88.094002,89.125999,89.125999,0.0
2009-01-23,7965.410156,7965.410156,7745.25,7745.25,7745.25,119800.0,89.134003,89.435997,88.059998,88.760002,88.760002,0.0
2009-01-26,7714.259765999999,7807.160156,7671.040039,7682.140137,7682.140137,115000.0,88.629997,89.606003,88.440002,89.239998,89.239998,0.0
2009-01-27,7782.899901999999,8115.149901999999,7782.069823999999,8061.069823999999,8061.069823999999,152400.0,89.230003,90.041,88.489998,89.33000200000001,89.33000200000001,0.0
2009-01-28,8052.25,8171.629883,7936.589844,8106.290039,8106.290039,140000.0,89.331001,90.58000200000001,88.940002,90.461998,90.461998,0.0
2009-01-29,8201.160156,8305.379883,8138.990234000001,8251.240234,8251.240234,160200.0,90.45500200000001,90.58000200000001,89.540001,89.910004,89.910004,0.0
2009-01-30,8142.879883,8142.879883,7922.390137,7994.049805,7994.049805,148000.0,89.91100300000001,90.029999,89.199997,89.900002,89.900002,0.0
2009-02-02,7908.509765999999,7955.75,7795.27002,7873.97998,7873.97998,159800.0,89.860001,89.970001,88.82399699999999,89.360001,89.360001,0.0
2009-02-03,7862.950195,8084.410156,7800.799805,7825.509765999999,7825.509765999999,181600.0,89.360001,89.91999799999999,88.589996,89.370003,89.370003,0.0
2009-02-04,7897.240234000001,8084.970215,7863.649901999999,8038.939941,8038.939941,156800.0,89.389999,89.760002,88.860001,89.41999799999999,89.41999799999999,0.0
2009-02-05,7985.529785,8093.959961,7901.040039,7949.649901999999,7949.649901999999,169400.0,89.41999799999999,91.946999,89.230003,91.150002,91.150002,0.0
2009-02-06,8054.27002,8169.040039,8033.240234000001,8076.620117,8076.620117,147200.0,91.15100100000001,92.18,90.769997,91.91999799999999,91.91999799999999,0.0
2009-02-09,8178.069823999999,8257.709961,7969.029785,7969.029785,7969.029785,140400.0,91.91999799999999,92.089996,90.910004,91.309998,91.309998,0.0
2009-02-10,8066.939941,8124.790039,7917.27002,7945.939941,7945.939941,138600.0,91.322998,91.619003,90.138,90.444,90.444,0.0
2009-02-11,,,,,,,90.41999799999999,90.699997,89.741997,90.290001,90.290001,0.0
2009-02-12,7842.529785,7862.52002,7685.680176000001,7705.359863,7705.359863,146000.0,90.246002,91.054001,89.760002,90.66999799999999,90.66999799999999,0.0
